SWP	Solar Rad (wat/m2)	RH (%)	Temperature (*C)	Rainfall (mm)	Wind Dir (Deg)	Wind Gust (km/h)	Wind Speed (km/h)	Dew Point (*C)
	wat/m2	%	*C	mm	Deg	km/h	km/h	*C
	SRD	HMD	TMP	RNF	WND	WNG	WNS	DEW
2023-01-01 00:00	0.0	99.9	27.0	0.0	264	14	4	27.0
2023-01-01 00:15	0.0	99.9	27.1	0.0	320	14	4	27.1
2023-01-01 00:30	0.0	99.9	27.1	0.0	259	17	6	27.1
2023-01-01 00:45	0.0	99.9	27.0	0.0	265	16	4	27.0
2023-01-01 01:00	0.0	99.9	26.9	0.0	252	12	4	26.9
2023-01-01 01:15	0.0	99.9	26.9	0.0	220	14	3	26.9
2023-01-01 01:30	0.0	99.9	26.9	0.0	283	11	3	26.9
2023-01-01 01:45	0.0	99.9	26.9	0.0	271	11	3	26.9
2023-01-01 02:00	0.0	99.9	26.9	0.0	289	11	3	26.9
2023-01-01 02:15	0.0	99.9	26.9	0.0	264	12	3	26.9
2023-01-01 02:30	0.0	99.9	26.9	0.0	264	9	3	26.9
2023-01-01 02:45	0.0	99.9	26.8	0.0	273	11	3	26.8
2023-01-01 03:00	0.0	99.9	26.9	0.0	273	11	4	26.9
2023-01-01 03:15	0.0	99.9	26.9	0.0	271	12	4	26.9
2023-01-01 03:30	0.0	99.9	26.8	0.0	275	14	3	26.8
2023-01-01 03:45	0.0	99.9	26.8	0.0	200	11	3	26.8
2023-01-01 04:00	0.0	99.9	26.8	0.0	266	11	3	26.8
2023-01-01 04:15	0.0	99.9	26.9	0.0	248	14	3	26.9
